目录ID,信息资源名称,目标表,数据库IP,对应处室,分类,需求依据,说明
50,海南省种子质量检测机构信息,O_HN065_SJSN_TBL_SEED_CROP_QUALITY_INSPECTION_INFO,172.25.111.6,,不采,排除域:种子,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
52,海南省农业种业测序数据库信息,O_HN065_SJSN_TBL_SEED_LIVESTOCK_SEQUENCE_INFO,172.25.111.6,,不采,排除域:种业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
54,海南省农业种业品种登记信息,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_REGISTER_INFO,172.25.111.6,,不采,排除域:种业/品种,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
61,农药数据信息,O_HN065_SJSN_T_MINI_PESTICIDE1,172.25.111.6,,不采,排除域:农药,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
62,农业防灾减灾疫苗接种信息,O_HN065_SJSN_TBL_DISASTER_VACCINES_ANALYSIS_DAT,172.25.111.6,,不采,排除域:疫苗,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
69,合格证查验记录数据信息,O_HN065_SJSN_T_MARA_QUALIFIEDCERT_INSPECT,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
71,海南省早稻生产统计信息,RICE_EARLY,10.111.162.138,,不采,排除域:早稻,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
74,海南省瓜菜生产统计信息,O_HN065_SJSN_MELON,172.25.111.6,,不采,排除域:瓜菜,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
75,合格证产品销售数据信息,O_HN065_SJSN_T_MARA_SALE,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
76,海南省热带经济作物生产统计信息,O_HN065_SJSN_419250AD_2790_6247_8D37_0A5B31A9B063,172.25.111.6,,不采,排除域:热带经济作物,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
92,海南省农产品质量安全合格证开具数量信息,O_HN065_SJSN_QS_RES_CERTIFICATE,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
101,海南省农产品合格证数据信息,O_HN065_SJSN_T_MARA_QUALIFIEDCERT,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
103,海南省农产品质量安全合格证主体信息,O_HN065_SJSN_QS_RES_CERTIFICATE_DETAIL,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
108,海南省农产品合格证编号表信息,O_HN065_SJSN_T_MARA_QUALIFIEDCERT_EXTEND,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
116,海南省农产品质量安全合格证打印信息,O_HN065_SJSN_QS_RES_CERTIFICATE_PRINT,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
118,水产检测报告数据信息,O_HN065_SJSN_T_MARA_CHECK_REPORT_AQUATIC,172.25.111.6,,不采,排除域:水产,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
120,水产检测报告明细数据信息,O_HN065_SJSN_T_MARA_CHECK_REPORT_AQUATIC_ITEM,172.25.111.6,,不采,排除域:水产,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
125,海南省农产品合格证产品信息,O_HN065_SJSN_T_MARA_QUALIFIEDCERT_PRO,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
130,领导视窗_种业信息,TB_BIG_SEED,172.21.199.156,,不采,排除域:种业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
133,领导视窗_主要水产苗种信息,FISHERY_RES_AQUATIC_FRY,172.21.199.156,,不采,排除域:水产,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
134,领导视窗_早稻生产信息,RICE_EARLY,172.21.199.156,,不采,排除域:早稻,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
136,领导视窗_渔业船舶统计、休闲渔业信息,FISHERY_RES_COMMON,172.21.199.156/10.111.162.133,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
141,领导视窗_冬春瓜菜生产信息,MELON,172.21.199.156,,不采,排除域:瓜菜,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
147,领导视窗_合格证主体信息,QS_RES_CERTIFICATE_DETAIL,172.21.199.156,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
151,领导视窗_渔业生产信息,FISHERY_RES_AQUATIC_YIELD,172.21.199.156,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
155,领导视窗_合格证打印信息,QS_RES_CERTIFICATE_PRINT,172.21.199.156,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
163,领导视窗_农林牧渔业总产值信息,AGRO_PROD_MACRO_INDICES,10.111.162.133LDJSC,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
165,领导视窗_热带经济作物生产信息,CROP,172.21.199.156,,不采,排除域:热带经济作物,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
166,领导视窗_渔业总产值信息,FISHERY_RES_EMONOMIC_OUTPUT,172.21.199.156,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
168,领导视窗_渔业乡镇、村、户、人口情况信息,FISHERY_RES_DISTRIBUTION,172.21.199.156,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
170,领导视窗_渔业产量TOP10信息,TB_BIG_FISHERY,10.111.162.138,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
